معرف الدواء,اسم الدواء,الشكل الأصلي,المصنع,التركيب الأصلي,حالة المصدر
197,m m,,,,التركيب غير موجود في APK
248,Linta,cream,ابن الهيثم,,التركيب غير موجود في APK
1260,Timovex Plus,eye-drops,ابن زهر,,التركيب غير موجود في APK
1334,حفافة قدم Zina,,ابن سينا,تنعيم الأقدام الخشنة خاصة الكعب,الشكل الصيدلاني غير موجود في APK
1386,Arak Baby,cream,اراك,,التركيب غير موجود في APK
1387,Arak Feet,cream,اراك,,التركيب غير موجود في APK
1388,Arak Skin For Preg,cream,اراك,,التركيب غير موجود في APK
1389,Clotrimazole,powder,اراك,,التركيب غير موجود في APK
1392,Demirac,spray,اراك,,التركيب غير موجود في APK
1408,Minoxidil Dry Hair,shampoo,اراك,,التركيب غير موجود في APK
1411,Minoxidil Oily Hair,shampoo,اراك,,التركيب غير موجود في APK
1414,Minoxidil Quinin,shampoo,اراك,,التركيب غير موجود في APK
1417,Minoxidilvitamin Mint,shampoo,اراك,,التركيب غير موجود في APK
1418,Minoxidilvitamin Normal,shampoo,اراك,,التركيب غير موجود في APK
1419,Minoxidilvitamin Oily,shampoo,اراك,,التركيب غير موجود في APK
1643,Dermo Tri,cream,اسيا,,التركيب غير موجود في APK
1915,Pigmacont,cream,اسيا,,التركيب غير موجود في APK
2124,Adultvit Fertil,tab,افاميا,,التركيب غير موجود في APK
2126,Adultvit Imun,coated-tab,افاميا,,التركيب غير موجود في APK
2127,Adultvit Liver Care,tab,افاميا,,التركيب غير موجود في APK
2129,Adultvit Man Care,tab,افاميا,,التركيب غير موجود في APK
2132,Adultvit Sperma,tab,افاميا,,التركيب غير موجود في APK
2193,Denta Care,tooth-paste,افاميا,,التركيب غير موجود في APK
2194,Denta Care N,tooth-paste,افاميا,,التركيب غير موجود في APK
2197,Denta Kids,tooth-paste,افاميا,,التركيب غير موجود في APK
2198,Denta White,gargle,افاميا,,التركيب غير موجود في APK
2208,Elagin,lotion,افاميا,,التركيب غير موجود في APK
2210,Elite Scar,gel,افاميا,,التركيب غير موجود في APK
2220,Famitrix,cream,افاميا,,التركيب غير موجود في APK
2242,Glucose Amin Plus,cap,افاميا,,التركيب غير موجود في APK
2243,Glucose Amin Total,cap,افاميا,,التركيب غير موجود في APK
2268,Kiddy Vit Active,oral-drops,افاميا,,التركيب غير موجود في APK
2275,Kiddy Vit Immunity,1-dose syrup,افاميا,,التركيب غير موجود في APK
2315,Nino Care,cream,افاميا,,التركيب غير موجود في APK
2339,Povidone Foam 4%,solu,افاميا,,التركيب غير موجود في APK
2355,Selicare,gel,افاميا,,التركيب غير موجود في APK
2356,Sense More,gel,افاميا,,التركيب غير موجود في APK
2359,Silicare,gel,افاميا,,التركيب غير موجود في APK
2365,Streach Care,cream,افاميا,,التركيب غير موجود في APK
2370,Sweetex,tab,افاميا,,التركيب غير موجود في APK
2371,Tea Bee Care,bottle,افاميا,,التركيب غير موجود في APK
2403,Vitamin B12,tab,افاميا,,التركيب غير موجود في APK
2739,Alpha Cold,gel-cap,الفا,,التركيب غير موجود في APK
2816,Colopaque,vial,الفا,,التركيب غير موجود في APK
2881,Neda Care,cap,الفا,,التركيب غير موجود في APK
3047,Amagra 100,coated-tab,امانثا,,التركيب غير موجود في APK
3078,Emessa Clean,gel,اميسا,,التركيب غير موجود في APK
3456,Vitam C/Zinc,eff-tab,اوبري,,التركيب غير موجود في APK
3526,Mesti,syrup,اوشر,,التركيب غير موجود في APK
3603,Gosi,tab,اوغاريت,,التركيب غير موجود في APK
3604,Gosi Plus,tab,اوغاريت,,التركيب غير موجود في APK
3691,Phanamine Extra,syrup,إيبلا,,التركيب غير موجود في APK
3697,Ciprozone,ear-drops,إيتا,,التركيب غير موجود في APK
3700,Etaderm,cream,إيتا,,التركيب غير موجود في APK
3716,Nystazidin,cream,إيتا,,التركيب غير موجود في APK
3980,Sacra Sweet,tab,بحري,,التركيب غير موجود في APK
4146,Hypovolol Plus 5/12.5,tab,بركات,,التركيب غير موجود في APK
4147,Hypovolol Plus 5/25,tab,بركات,,التركيب غير موجود في APK
4193,Para Panthenol,cream,بركات,,التركيب غير موجود في APK
4216,Pure Skin,cream,بركات,,التركيب غير موجود في APK
4242,Vita Bar Beauty,cap,بركات,,التركيب غير موجود في APK
4245,Vita Bar Pronatal,tab,بركات,,التركيب غير موجود في APK
4248,Acneclear,liquied-soap,برهاني,,التركيب غير موجود في APK
4249,Arbutin,cream,برهاني,,التركيب غير موجود في APK
4250,Cold Cream,cream,برهاني,,التركيب غير موجود في APK
4252,Dexa Panthenol,cream,برهاني,,التركيب غير موجود في APK
4253,Dexa Panthenol Plus,cream,برهاني,,التركيب غير موجود في APK
4254,Hyalo,cream,برهاني,,التركيب غير موجود في APK
4255,Neutro Derma Sun 50 dry,cream,برهاني,,التركيب غير موجود في APK
4256,Neutro Derma Sun 50 oily,cream,برهاني,,التركيب غير موجود في APK
4257,Nitroderma Sun 50,cream,برهاني,,التركيب غير موجود في APK
4258,Nitroderma Whitning,cream,برهاني,,التركيب غير موجود في APK
4259,Rina,cream,برهاني,,التركيب غير موجود في APK
4261,Setaderm Anti Septic,cream,برهاني,,التركيب غير موجود في APK
4262,Setaderm Coco,cream,برهاني,,التركيب غير موجود في APK
4263,Setaderm Cream Soap,cream,برهاني,,التركيب غير موجود في APK
4319,Prodol Qua Cold,cap,برولاين,,التركيب غير موجود في APK
4348,A.D.C.Bal,chew-tab,بلسم,,التركيب غير موجود في APK
4349,A.D.C.Flor,loz,بلسم,,التركيب غير موجود في APK
4494,Azma Stop,syrup,بيتا,,التركيب غير موجود في APK
4520,Gyno Beta,ovule,بيتا,,التركيب غير موجود في APK
4532,Uro Treat,susp,بيتا,,التركيب غير موجود في APK
4533,XGrippe Complet,cap,بيتا,,التركيب غير موجود في APK
4538,Lipo,,بيرفيكت,,التركيب غير موجود في APK
4546,Vali Bone,,بيرفيكت,الرعاية المثالية لصحة العظام والمفاصل,الشكل الصيدلاني غير موجود في APK
4547,Vali Mum1,gel-cap,بيرفيكت,,التركيب غير موجود في APK
4581,Bio CKids,chew-tab,بيوميد,,التركيب غير موجود في APK
4582,Bio CZinc,coated-tab,بيوميد,,التركيب غير موجود في APK
4611,Daily Vit Maternal,coated-tab,بيوميد,,التركيب غير موجود في APK
4648,New Arginin,syrup,بيوميد,,التركيب غير موجود في APK
4649,New Rhinogrip Day,tab,بيوميد,,التركيب غير موجود في APK
4650,New Rhinogrip Night,tab,بيوميد,,التركيب غير موجود في APK
4705,Reemocod,syrup,تاميكو,,التركيب غير موجود في APK
4706,Reemopect,syrup,تاميكو,,التركيب غير موجود في APK
4713,Sytamol 125,supp,تاميكو,,التركيب غير موجود في APK
4719,Tamigesic,tab,تاميكو,,التركيب غير موجود في APK
4723,Thamelac Soya,metal-can,تاميكو,,التركيب غير موجود في APK
4956,Bran,tab,حياة,,التركيب غير موجود في APK
4958,Joint1,caplet,حياة,,التركيب غير موجود في APK
4959,Joint Plus,tab,حياة,,التركيب غير موجود في APK
4960,Joint SMG,eff-tab,حياة,,التركيب غير موجود في APK
4965,MSM,coated-tab,حياة,,التركيب غير موجود في APK
4967,New Profi Cold,cap,حياة,,التركيب غير موجود في APK
4980,Salmon Fish Oil,cap,حياة,,التركيب غير موجود في APK
5198,Cont,tab,دولية,,التركيب غير موجود في APK
5278,Betamethasone Dipro,cream,دومنا,,التركيب غير موجود في APK
5791,Dimasept Free Gel,gel,ديماس,,التركيب غير موجود في APK
5811,Reinoflex Acid,serum,ديماس,,التركيب غير موجود في APK
6005,Green AX,sachet,رازي,,التركيب غير موجود في APK
6424,Noroclidin,tab,راما,,التركيب غير موجود في APK
6451,Panthenol Sept,cream,راما,,التركيب غير موجود في APK
6452,Panthenol Soft,cream,راما,,التركيب غير موجود في APK
6459,Phisiofrine 10%,eye-drops,راما,,التركيب غير موجود في APK
6572,Ravit B12,cap,رائد,,التركيب غير موجود في APK
6573,Ravit C,cap,رائد,,التركيب غير موجود في APK
6574,Ravit C-Zn,cap,رائد,,التركيب غير موجود في APK
6575,Ravit Haemo,cap,رائد,,التركيب غير موجود في APK
6576,Ravit Light,,رائد,,التركيب غير موجود في APK
6577,Ravit Multi,coated-tab,رائد,,التركيب غير موجود في APK
6579,Ravit Pregnancy,coated-tab,رائد,,التركيب غير موجود في APK
6580,Ravit Zinc,susp,رائد,,التركيب غير موجود في APK
6917,Meralac banan-wheat,cartoon,سراج,,التركيب غير موجود في APK
6918,Meralac fruit-whear,cartoon,سراج,,التركيب غير موجود في APK
6919,Meralac milk-wheat,cartoon,سراج,,التركيب غير موجود في APK
6937,Sweet Less,gel,سراج,,التركيب غير موجود في APK
7255,Golden Moon,tab,سلامة,,التركيب غير موجود في APK
7256,Green Apple,cap,سلامة,,التركيب غير موجود في APK
7266,Oprah,cap,سلامة,,التركيب غير موجود في APK
7273,Sliming Box,cap,سلامة,,التركيب غير موجود في APK
7359,Seavit Haemo,tab,سي,,التركيب غير موجود في APK
7361,Sea Vit Pregnant,coated-tab,سي,,التركيب غير موجود في APK
7419,Cell Plus,tab,سيتي,,التركيب غير موجود في APK
7490,Heal Palm,cream,سيتي,,التركيب غير موجود في APK
7533,Ozo Heal D,cream,سيتي,,التركيب غير موجود في APK
7534,Ozo Heal H,cream,سيتي,,التركيب غير موجود في APK
7541,Pana Night,coated-tab,سيتي,,التركيب غير موجود في APK
7620,Baby Sp,,سيريا,سائل تعويض شوارد,الشكل الصيدلاني غير موجود في APK
7621,Betamethason,cream,سيريا,,التركيب غير موجود في APK
7623,Clortrimazole 1%,cream,سيريا,,التركيب غير موجود في APK
7624,Clortrimazole 2%,vag-cream,سيريا,,التركيب غير موجود في APK
7625,Dal3,oral-drops,سيريا,,التركيب غير موجود في APK
7626,Derma,cream,سيريا,,التركيب غير موجود في APK
7627,Dexanidin,cream,سيريا,,التركيب غير موجود في APK
7628,Gentamicin 0.3%,cream,سيريا,,التركيب غير موجود في APK
7633,Siria D3,,سيريا,,التركيب غير موجود في APK
7634,Siria Grip,,سيريا,chlorpheniramine 1mg+dextromethorphan 50mg+paracetamol 160mg+phenylephrine 1mg / 5ml,الشكل الصيدلاني غير موجود في APK
7636,Siriatin,oral-drops,سيريا,,التركيب غير موجود في APK
7639,Trito,,سيريا,,التركيب غير موجود في APK
8024,Glucofix,gel,شهبا,,التركيب غير موجود في APK
8049,Lactimoist,gel,شهبا,,التركيب غير موجود في APK
8070,Neo Sedato,syrup,شهبا,,التركيب غير موجود في APK
8197,Acne Green,cream,غرين,,التركيب غير موجود في APK
8198,Acogel Pro,gel,غرين,,التركيب غير موجود في APK
8199,Ananas Vinger,solu,غرين,,التركيب غير موجود في APK
8201,Barakah Seed Soap,soap,غرين,,التركيب غير موجود في APK
8203,Cammomil Soap,soap,غرين,,التركيب غير موجود في APK
8204,Cetagynal,solu,غرين,,التركيب غير موجود في APK
8205,Collagen Day,cream,غرين,,التركيب غير موجود في APK
8206,Collagen Night,cream,غرين,,التركيب غير موجود في APK
8207,Collagen Soap GP,soap,غرين,,التركيب غير موجود في APK
8209,Fatrim Thyme Slimming,cap,غرين,,التركيب غير موجود في APK
8210,Fouks,cap,غرين,,التركيب غير موجود في APK
8211,Free Rigime/psilium,cap,غرين,,التركيب غير موجود في APK
8212,Gar Soap,soap,غرين,,التركيب غير موجود في APK
8213,Genkgo Greenergy,cap,غرين,,التركيب غير موجود في APK
8214,Ginger-Apple-Vinger,solu,غرين,,التركيب غير موجود في APK
