معرف الدواء,اسم الدواء,المواد الفعالة,العيارات,الشكل الصيدلاني,المصنع,التركيب الأصلي,الشكل الأصلي,حالة المصدر
1,Bero D 300000,vit D2,300000i.u.,أمبولة,PPM,vit D2 300000i.u. / amp,amp,بيانات مكتملة
2,Bero D 600000,vit D2,600000i.u.,أمبولة,PPM,vit D2 600000i.u. / amp,amp,بيانات مكتملة
3,Lincomycin 600,lincomycin,600mg,أمبولة,PPM,lincomycin 600mg / amp,amp,بيانات مكتملة
4,Pain Out 75,diclofenac Sodium,75mg,أمبولة,PPM,diclofenac Sodium 75mg / amp,amp,بيانات مكتملة
5,Tri Nerv,thiamine + vit B6 + vit B12,100mg + 100mg + 1mg,أمبولة,PPM,thiamine 100mg+vit B6 100mg+vit B12 1mg / amp,amp,بيانات مكتملة
6,Cortaderm 0.1%,mometasone,0.1%,كريم,ابسيلون,mometasone 0.1%,cream,بيانات مكتملة
7,Abecort 1%,triam Cinolone,0.1%,مرهم,ابن الهيثم,triam Cinolone 0.1%,oint,بيانات مكتملة
8,Acecloren 100,aceclofenac,100mg,قرص مغلف,ابن الهيثم,aceclofenac 100mg / c-tab,coated-tab,بيانات مكتملة
9,Acecloren 200,aceclofenac,200mg,تحاميل,ابن الهيثم,aceclofenac 200mg / supp,supp,بيانات مكتملة
10,Acnecid 10%,benzoyl Peroxide,10%,جل,ابن الهيثم,benzoyl Peroxide 10%,gel,بيانات مكتملة
11,Acnecid 2.5%,benzoyl Peroxide,2.5%,جل,ابن الهيثم,benzoyl Peroxide 2.5%,gel,بيانات مكتملة
12,Acnecid 5%,benzoyl Peroxide,5%,جل,ابن الهيثم,benzoyl Peroxide 5%,gel,بيانات مكتملة
13,Acnetrix,erythromycin + isotretinoin,2% + 0.05%,جل,ابن الهيثم,erythromycin 2%+isotretinoin 0.05%,gel,بيانات مكتملة
14,Acta Glim 30/2,glimepiride + pioglitazone,2mg + 30mg,قرص,ابن الهيثم,glimepiride 2mg+pioglitazone 30mg / tab,tab,بيانات مكتملة
15,Acta Glim 30/4,glimepiride + pioglitazone,4mg + 30mg,قرص,ابن الهيثم,glimepiride 4mg+pioglitazone 30mg / tab,tab,بيانات مكتملة
16,Acta Glim 45/4,glimepiride + pioglitazone,4mg + 45mg,قرص,ابن الهيثم,glimepiride 4mg+pioglitazone 45mg / tab,tab,بيانات مكتملة
17,Alta Pamulin 1%,retapamulin,1%,مرهم,ابن الهيثم,retapamulin 1%,oint,بيانات مكتملة
18,Ambroxol 15,ambroxol,15mg,تحاميل,ابن الهيثم,ambroxol 15mg / supp,supp,بيانات مكتملة
19,Ambroxol 30,ambroxol,30mg,تحاميل,ابن الهيثم,ambroxol 30mg / supp,supp,بيانات مكتملة
20,Ambroxol 75,ambroxol,75mg,كبسولة,ابن الهيثم,ambroxol 75mg / tab,cap,بيانات مكتملة
21,Anorel,lidocaine + nifedipine,1.5% + 0.3%,كريم,ابن الهيثم,lidocaine 1.5%+nifedipine 0.3%,cream,بيانات مكتملة
22,Anti Age,acetyl-L-Carnitine + arginine,225mg + 193mg,كبسولة,ابن الهيثم,acetyl-L-Carnitine 225mg+arginine 193mg / cap,cap,بيانات مكتملة
23,Anti Angina 1000,ranolazine,1000mg,قرص مغلف,ابن الهيثم,ranolazine 1000mg / c-tab,coated-tab,بيانات مكتملة
24,Anti Angina 375,ranolazine,375mg,قرص مغلف,ابن الهيثم,ranolazine 375mg / c-tab,coated-tab,بيانات مكتملة
25,Anti Angina 500,ranolazine,500mg,قرص مغلف,ابن الهيثم,ranolazine 500mg / c-tab,coated-tab,بيانات مكتملة
